"IndicatorCode","Indicator","ValueType","ParentLocationCode","ParentLocation","Location type","SpatialDimValueCode","Location","Period type","Period","Value"
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BEN","Benin","Year",2022,68000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BEN","Benin","Year",2021,69000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BEN","Benin","Year",2020,69000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BEN","Benin","Year",2015,71000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BEN","Benin","Year",2010,68000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BEN","Benin","Year",2005,66000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BEN","Benin","Year",2000,63000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BFA","Burkina Faso","Year",2023,95000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BFA","Burkina Faso","Year",2022,97000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BFA","Burkina Faso","Year",2021,99000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BFA","Burkina Faso","Year",2020,1e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BFA","Burkina Faso","Year",2015,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BFA","Burkina Faso","Year",2010,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BFA","Burkina Faso","Year",2005,130000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BFA","Burkina Faso","Year",2000,150000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BWA","Botswana","Year",2023,360000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BWA","Botswana","Year",2022,360000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BWA","Botswana","Year",2021,360000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BWA","Botswana","Year",2020,360000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BWA","Botswana","Year",2015,350000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BWA","Botswana","Year",2010,320000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BWA","Botswana","Year",2005,3e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BWA","Botswana","Year",2000,270000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CIV","Cote d'Ivoire","Year",2023,420000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CIV","Cote d'Ivoire","Year",2022,430000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CIV","Cote d'Ivoire","Year",2021,430000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CIV","Cote d'Ivoire","Year",2020,440000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CIV","Cote d'Ivoire","Year",2015,460000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CIV","Cote d'Ivoire","Year",2010,520000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CIV","Cote d'Ivoire","Year",2005,610000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CIV","Cote d'Ivoire","Year",2000,720000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COD","Democratic Republic of the Congo","Year",2023,520000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COD","Democratic Republic of the Congo","Year",2022,510000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COD","Democratic Republic of the Congo","Year",2021,510000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COD","Democratic Republic of the Congo","Year",2020,5e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COD","Democratic Republic of the Congo","Year",2015,490000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COD","Democratic Republic of the Congo","Year",2010,530000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COD","Democratic Republic of the Congo","Year",2005,570000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COD","Democratic Republic of the Congo","Year",2000,610000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COG","Congo","Year",2023,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COG","Congo","Year",2022,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COG","Congo","Year",2021,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COG","Congo","Year",2020,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COG","Congo","Year",2015,1e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COG","Congo","Year",2010,95000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COG","Congo","Year",2005,85000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COG","Congo","Year",2000,86000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COM","Comoros","Year",2023,200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COM","Comoros","Year",2022,200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COM","Comoros","Year",2021,200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COM","Comoros","Year",2020,200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COM","Comoros","Year",2015,200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COM","Comoros","Year",2010,200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COM","Comoros","Year",2005,100
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","COM","Comoros","Year",2000,100
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CPV","Cabo Verde","Year",2023,4000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CPV","Cabo Verde","Year",2022,3800
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CPV","Cabo Verde","Year",2021,3700
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CPV","Cabo Verde","Year",2020,3500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CPV","Cabo Verde","Year",2015,2700
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CPV","Cabo Verde","Year",2010,2200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CPV","Cabo Verde","Year",2005,1800
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","CPV","Cabo Verde","Year",2000,1500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","DZA","Algeria","Year",2023,26000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","DZA","Algeria","Year",2022,24000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","DZA","Algeria","Year",2021,22000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","DZA","Algeria","Year",2020,21000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","DZA","Algeria","Year",2015,15000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","DZA","Algeria","Year",2010,10000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","DZA","Algeria","Year",2005,5700
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","DZA","Algeria","Year",2000,2400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ERI","Eritrea","Year",2023,13000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ERI","Eritrea","Year",2022,13000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ERI","Eritrea","Year",2021,14000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ERI","Eritrea","Year",2020,14000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ERI","Eritrea","Year",2015,17000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ERI","Eritrea","Year",2010,21000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ERI","Eritrea","Year",2005,25000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ERI","Eritrea","Year",2000,27000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ETH","Ethiopia","Year",2023,610000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ETH","Ethiopia","Year",2022,610000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ETH","Ethiopia","Year",2021,620000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ETH","Ethiopia","Year",2020,620000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ETH","Ethiopia","Year",2015,650000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ETH","Ethiopia","Year",2010,660000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ETH","Ethiopia","Year",2005,720000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ETH","Ethiopia","Year",2000,860000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GAB","Gabon","Year",2023,51000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GAB","Gabon","Year",2022,52000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GAB","Gabon","Year",2021,52000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GAB","Gabon","Year",2020,52000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GAB","Gabon","Year",2015,52000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GAB","Gabon","Year",2010,47000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GAB","Gabon","Year",2005,41000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GAB","Gabon","Year",2000,34000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GHA","Ghana","Year",2023,330000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GHA","Ghana","Year",2022,330000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GHA","Ghana","Year",2021,330000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GHA","Ghana","Year",2020,330000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GHA","Ghana","Year",2015,310000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GHA","Ghana","Year",2010,3e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GHA","Ghana","Year",2005,3e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GHA","Ghana","Year",2000,280000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GIN","Guinea","Year",2023,130000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GIN","Guinea","Year",2022,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GIN","Guinea","Year",2021,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GIN","Guinea","Year",2020,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GIN","Guinea","Year",2015,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GIN","Guinea","Year",2010,1e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GIN","Guinea","Year",2005,90000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GIN","Guinea","Year",2000,73000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GMB","Gambia","Year",2023,26000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GMB","Gambia","Year",2022,27000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GMB","Gambia","Year",2021,27000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GMB","Gambia","Year",2020,27000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GMB","Gambia","Year",2015,26000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GMB","Gambia","Year",2010,23000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GMB","Gambia","Year",2005,19000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GMB","Gambia","Year",2000,13000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GNB","Guinea-Bissau","Year",2023,34000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GNB","Guinea-Bissau","Year",2022,35000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GNB","Guinea-Bissau","Year",2021,35000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GNB","Guinea-Bissau","Year",2020,35000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GNB","Guinea-Bissau","Year",2015,37000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GNB","Guinea-Bissau","Year",2010,37000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GNB","Guinea-Bissau","Year",2005,35000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","GNB","Guinea-Bissau","Year",2000,25000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","KEN","Kenya","Year",2023,1400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","KEN","Kenya","Year",2022,1400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","KEN","Kenya","Year",2021,1400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","KEN","Kenya","Year",2020,1500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","KEN","Kenya","Year",2015,1500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","KEN","Kenya","Year",2010,1500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","KEN","Kenya","Year",2005,1600
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","KEN","Kenya","Year",2000,1700
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LBR","Liberia","Year",2023,34000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LBR","Liberia","Year",2022,34000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LBR","Liberia","Year",2021,34000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LBR","Liberia","Year",2020,35000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LBR","Liberia","Year",2015,38000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LBR","Liberia","Year",2010,41000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LBR","Liberia","Year",2005,43000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LBR","Liberia","Year",2000,47000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LSO","Lesotho","Year",2023,270000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LSO","Lesotho","Year",2022,270000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LSO","Lesotho","Year",2021,280000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LSO","Lesotho","Year",2020,280000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LSO","Lesotho","Year",2015,3e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LSO","Lesotho","Year",2010,280000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LSO","Lesotho","Year",2005,250000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","LSO","Lesotho","Year",2000,220000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MDG","Madagascar","Year",2023,76000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MDG","Madagascar","Year",2022,69000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MDG","Madagascar","Year",2021,62000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MDG","Madagascar","Year",2020,57000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MDG","Madagascar","Year",2015,36000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MDG","Madagascar","Year",2010,23000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MDG","Madagascar","Year",2005,11000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MDG","Madagascar","Year",2000,3500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MLI","Mali","Year",2023,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MLI","Mali","Year",2022,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MLI","Mali","Year",2021,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MLI","Mali","Year",2020,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MLI","Mali","Year",2015,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MLI","Mali","Year",2010,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MLI","Mali","Year",2005,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MLI","Mali","Year",2000,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MOZ","Mozambique","Year",2023,2400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MOZ","Mozambique","Year",2022,2400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MOZ","Mozambique","Year",2021,2400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MOZ","Mozambique","Year",2020,2300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MOZ","Mozambique","Year",2015,2000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MOZ","Mozambique","Year",2010,1600
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MOZ","Mozambique","Year",2005,1200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MOZ","Mozambique","Year",2000,850000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MRT","Mauritania","Year",2023,6400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MRT","Mauritania","Year",2022,6300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MRT","Mauritania","Year",2021,6300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MRT","Mauritania","Year",2020,6400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MRT","Mauritania","Year",2015,7300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MRT","Mauritania","Year",2010,8800
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MRT","Mauritania","Year",2005,9700
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MRT","Mauritania","Year",2000,8500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MUS","Mauritius","Year",2023,13000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MUS","Mauritius","Year",2022,12000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MUS","Mauritius","Year",2021,12000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MUS","Mauritius","Year",2020,12000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MUS","Mauritius","Year",2015,11000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MUS","Mauritius","Year",2010,9600
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MUS","Mauritius","Year",2005,7800
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MUS","Mauritius","Year",2000,4000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MWI","Malawi","Year",2023,980000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MWI","Malawi","Year",2022,990000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MWI","Malawi","Year",2021,1e+06
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MWI","Malawi","Year",2020,1000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MWI","Malawi","Year",2015,1e+06
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MWI","Malawi","Year",2010,930000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MWI","Malawi","Year",2005,910000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","MWI","Malawi","Year",2000,950000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NAM","Namibia","Year",2023,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NAM","Namibia","Year",2022,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NAM","Namibia","Year",2021,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NAM","Namibia","Year",2020,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NAM","Namibia","Year",2015,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NAM","Namibia","Year",2010,210000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NAM","Namibia","Year",2005,190000
